22:11:41 INFO  run extreme-full-1.6M-d256h8-v2 | device=cuda | params=1564932 | d256/h8 budget 32 preset extreme-full budget_scale 1.000
01:59:47 INFO  eval  step  15000 | solved 0.6191 | finished 0.62 | passes 23.17
02:01:59 INFO  step  15100 | loss 1.0851 | cell 0.830 | grid 0.646 | stop 23.1 | 1.1 it/s
02:03:27 INFO  step  15200 | loss 1.0852 | cell 0.835 | grid 0.643 | stop 23.3 | 1.1 it/s
02:04:51 INFO  step  15300 | loss 1.1266 | cell 0.812 | grid 0.612 | stop 23.7 | 1.1 it/s
02:06:15 INFO  step  15400 | loss 1.1804 | cell 0.813 | grid 0.581 | stop 24.5 | 1.1 it/s
02:07:39 INFO  step  15500 | loss 1.1650 | cell 0.803 | grid 0.576 | stop 24.0 | 1.1 it/s
02:09:04 INFO  step  15600 | loss 1.1035 | cell 0.822 | grid 0.620 | stop 23.3 | 1.1 it/s
02:10:29 INFO  step  15700 | loss 1.1429 | cell 0.812 | grid 0.604 | stop 23.7 | 1.1 it/s
02:11:53 INFO  step  15800 | loss 1.1298 | cell 0.817 | grid 0.620 | stop 23.7 | 1.1 it/s
02:13:17 INFO  step  15900 | loss 1.1360 | cell 0.812 | grid 0.612 | stop 23.5 | 1.1 it/s
02:14:42 INFO  step  16000 | loss 1.1429 | cell 0.813 | grid 0.609 | stop 24.1 | 1.1 it/s
02:14:45 INFO  eval  step  16000 | solved 0.6362 | finished 0.63 | passes 22.91
02:16:50 INFO  step  16100 | loss 1.2004 | cell 0.796 | grid 0.565 | stop 24.6 | 1.1 it/s
02:18:24 INFO  step  16200 | loss 1.1167 | cell 0.822 | grid 0.604 | stop 23.8 | 1.1 it/s
02:19:49 INFO  step  16300 | loss 1.1299 | cell 0.824 | grid 0.628 | stop 23.4 | 1.1 it/s
02:21:13 INFO  step  16400 | loss 1.0625 | cell 0.844 | grid 0.659 | stop 23.0 | 1.1 it/s
02:22:37 INFO  step  16500 | loss 1.0705 | cell 0.839 | grid 0.661 | stop 23.1 | 1.1 it/s
02:24:02 INFO  step  16600 | loss 1.0759 | cell 0.839 | grid 0.643 | stop 23.0 | 1.1 it/s
02:25:27 INFO  step  16700 | loss 1.1227 | cell 0.821 | grid 0.615 | stop 24.0 | 1.1 it/s
02:26:51 INFO  step  16800 | loss 1.1137 | cell 0.826 | grid 0.628 | stop 23.7 | 1.1 it/s
02:28:15 INFO  step  16900 | loss 1.1267 | cell 0.808 | grid 0.620 | stop 23.5 | 1.1 it/s
02:29:40 INFO  step  17000 | loss 1.1332 | cell 0.816 | grid 0.622 | stop 23.7 | 1.1 it/s
02:29:43 INFO  eval  step  17000 | solved 0.6172 | finished 0.62 | passes 22.75
02:31:41 INFO  step  17100 | loss 1.1590 | cell 0.814 | grid 0.612 | stop 24.0 | 1.1 it/s
02:33:22 INFO  step  17200 | loss 1.1490 | cell 0.814 | grid 0.615 | stop 24.0 | 1.1 it/s
02:34:49 INFO  step  17300 | loss 1.0968 | cell 0.827 | grid 0.620 | stop 23.2 | 1.1 it/s
02:36:16 INFO  step  17400 | loss 1.1079 | cell 0.836 | grid 0.651 | stop 23.3 | 1.1 it/s
02:37:42 INFO  step  17500 | loss 1.1273 | cell 0.817 | grid 0.612 | stop 23.8 | 1.1 it/s
02:39:09 INFO  step  17600 | loss 1.1061 | cell 0.823 | grid 0.635 | stop 23.3 | 1.1 it/s
02:40:34 INFO  step  17700 | loss 1.1361 | cell 0.817 | grid 0.628 | stop 23.9 | 1.1 it/s
02:42:00 INFO  step  17800 | loss 1.1084 | cell 0.818 | grid 0.622 | stop 23.1 | 1.1 it/s
02:43:27 INFO  step  17900 | loss 1.1243 | cell 0.829 | grid 0.646 | stop 23.8 | 1.1 it/s
02:44:54 INFO  step  18000 | loss 1.1282 | cell 0.820 | grid 0.625 | stop 23.7 | 1.1 it/s
02:44:57 INFO  eval  step  18000 | solved 0.6421 | finished 0.64 | passes 22.87
02:46:51 INFO  step  18100 | loss 1.1379 | cell 0.821 | grid 0.622 | stop 23.8 | 1.1 it/s
02:48:38 INFO  step  18200 | loss 1.1431 | cell 0.819 | grid 0.620 | stop 23.9 | 1.1 it/s
02:50:05 INFO  step  18300 | loss 1.0948 | cell 0.831 | grid 0.638 | stop 23.5 | 1.1 it/s
02:51:32 INFO  step  18400 | loss 1.1153 | cell 0.828 | grid 0.628 | stop 23.8 | 1.1 it/s
02:52:59 INFO  step  18500 | loss 1.1230 | cell 0.823 | grid 0.612 | stop 23.8 | 1.1 it/s
02:54:27 INFO  step  18600 | loss 1.1370 | cell 0.818 | grid 0.625 | stop 23.5 | 1.1 it/s
